Time,xm,zm,vxm,vzm,xM,zM,vxM,vzM,NormalForce,TangentialStress,MaximunBendingMoment,MinimunBendingMoment
0.132,-0.0867152781156649,0.413823013789797,-2.38429361449929,0.3957004435704,0.36122304994394,0.693791989918032,0.233415193820286,0.532810430567101,0.191788175118653,-163.69745244493,-109.954618836633,4.63359787481736
0.144,-0.115317356377731,0.420015353995069,-2.3823160948644,0.329473643539312,0.364024032269783,0.699479395084838,0.233415193820286,0.415090430567101,0.796789645996375,-163.720686625142,-109.95932765076,4.64515298683919
0.156,-0.143881195775882,0.425412187642192,-2.37792164353408,0.26309708542287,0.366825014595626,0.703754160251643,0.233415193820286,0.297370430567101,1.40003158625676,-163.772317704977,-109.969893939453,4.67072845403073
0.168,-0.17237784602622,0.430011036895444,-2.37111996466513,0.196457388784426,0.36962599692147,0.706616285418448,0.233415193820286,0.179650430567101,2.00018187183382,-163.852231668814,-109.986522127284,4.71004004088587
0.18,-0.20109946246799,0.433975122561361,-2.42636037421948,0.145277516855368,0.372426979247313,0.708065770585253,0.233415193820286,0.0619304305671009,-13.8162160125204,-158.835507683602,-106.118178862827,5.06667651569414
0.192,-0.230484084931328,0.437293411068628,-2.46370765989017,0.0983221912487386,0.375227961573157,0.708102615752058,0.233415193820286,-0.0557895694328991,-2.76265134256879,-160.097239604322,-108.361230896877,3.70683682614779
0.204,-0.260002711299389,0.439906400617104,-2.45114127985758,0.0403008445275777,0.378028943899,0.706726820918864,0.233415193820286,-0.173509569432899,4.62053105110346,-162.057619396614,-109.070302046365,4.37003153126511
0.216,-0.289299600459329,0.441803672687591,-2.43118296505444,-0.0198271570646435,0.380829926224843,0.703938386085669,0.233415193820286,-0.291229569432899,5.35645366803807,-162.312650922965,-109.116184196091,4.50267144998462
0.228,-0.318339435815573,0.442972988431695,-2.40830830644672,-0.0810500544489957,0.383630908550687,0.699737311252474,0.233415193820286,-0.408949569432899,6.07838547724155,-162.60494810121,-109.173421546267,4.65004212458006
0.24,-0.34708757218512,0.443400320639125,-2.38257705157829,-0.143515415428559,0.38643189087653,0.694123596419279,0.233415193820286,-0.526669569432899,6.78444082642082,-162.933747464721,-109.243199419192,4.81042380611226
0.252,-0.375510126289148,0.443069890376116,-2.35405640928954,-0.207367562549318,0.389232873202374,0.687097241586084,0.233415193820286,-0.644389569432899,7.47277553185781,-163.29819020486,-109.326570619991,4.98216252341109
0.264,-0.403351192495697,0.441110198445682,-2.26794195466192,-0.311097293875955,0.392033855528217,0.67865824675289,0.233415193820286,-0.762109569432899,34.7417812417472,-184.10011761411,-114.669078127539,14.2010042023373
0.276,-0.429530148796249,0.437545784800776,-2.10086346499912,-0.489023983686851,0.394834837854061,0.668806611919695,0.233415193820286,-0.879829569432899,26.2727268882313,-182.596801021081,-115.463661012532,12.3540997022244
0.288,-0.454438895219406,0.432958872300922,-2.06419079182183,-0.584123166717163,0.397635820179904,0.6575423370865,0.233415193820286,-0.997549569432899,5.87794744614382,-168.685633504172,-111.829394030199,6.25054942272133
0.3,-0.479065539834141,0.427338196116625,-2.04003716304753,-0.670757399549693,0.400436802505747,0.644865422253305,0.233415193820286,-1.1152695694329,6.19716882577802,-168.933668389686,-111.912120418026,6.34144745475452
0.312,-0.503394762168586,0.420671852247278,-2.01462738159661,-0.758409714072203,0.403237784831591,0.63077586742011,0.233415193820286,-1.2329895694329,6.50593547093778,-169.194602773169,-112.000534729284,6.43568721193476
0.324,-0.527411743507574,0.412947317603427,-1.98800431422412,-0.84713083500703,0.406038767157434,0.615273672586916,0.233415193820286,-1.3507095694329,6.80372648677978,-169.467996453658,-112.0946289022,6.53296861536115
0.336,-0.551102191892071,0.404151471133442,-1.96021287452013,-0.936969683981002,0.408839749483278,0.598358837753721,0.233415193820286,-1.4684295694329,7.090039494542,-169.753388211132,-112.194374342189,6.63299740560263
0.348,-0.574452366229968,0.392271328023831,-1.90835611342302,-1.05738865010916,0.411640731809121,0.580031362920526,0.233415193820286,-1.5861495694329,41.7801420540981,-214.173326257672,-127.807165674902,22.114162705468
0.36,-0.595411072069631,0.376451116410583,-1.57896042686533,-1.53054266758376,0.414441714134964,0.560291248087331,0.233415193820286,-1.7038695694329,50.481791537262,-231.461436955284,-134.507638402919,27.5153674657794
0.372,-0.61392988823513,0.359282647744117,-1.54011962071115,-1.68043710985897,0.417242696460808,0.539138493254137,0.233415193820286,-1.8215895694329,1.56576154745899,-175.267719960833,-114.802245106364,7.88515886621927
0.384,-0.632373550039791,0.340764526681195,-1.53380782494391,-1.79296689837381,0.420043678786651,0.516573098420942,0.233415193820286,-1.9393095694329,1.59004423012879,-175.297250035693,-114.814279959385,7.89379506559955
0.396,-0.650740891948863,0.320895335819593,-1.52740000934749,-1.90561570912963,0.422844661112495,0.492595063587747,0.233415193820286,-2.0570295694329,1.61377006086392,-175.32722934447,-114.826507550135,7.90255299099436
0.408,-0.669030775155706,0.299673636194487,-1.52089841801325,-2.01838531811573,0.425645643438338,0.467204388754552,0.233415193820286,-2.1747495694329,1.63693073060142,-175.357647388063,-114.838923995479,7.9114291761646
0.42,-0.687242087980619,0.277097967782395,-1.51430532787388,-2.13127745901648,0.428446625764182,0.440401073921357,0.233415193820286,-2.2924695694329,1.65951812821027,-175.388493513724,-114.851525339357,7.92042012024936
0.432,-0.705373746260159,0.250270300716156,-1.48023797212999,-2.28503563375736,0.431247608090025,0.412185119088163,0.233415193820286,-2.4101895694329,42.7591380074013,-236.53247364863,-137.829308450018,27.743423104023
0.444,-0.71927805175545,0.214876832913982,-0.790134282362287,-3.32730337068422,0.434048590415868,0.382556524254968,0.233415193820286,-2.5279095694329,113.277130091611,-321.748299537294,-166.948635603406,58.2751740727005
0.456,-0.727805426763777,0.178179485902289,-0.704631891514808,-3.53409562789152,0.436849572741712,0.351515289421773,0.233415193820286,-2.6456295694329,2.97162135782039,-174.237592736785,-114.336285560667,7.6300293550829
0.468,-0.736190171657082,0.140181928361683,-0.69286600101773,-3.64229565295173,0.439650555067555,0.319061414588578,0.233415193820286,-2.7633495694329,2.91100588509786,-174.162677096882,-114.306532747026,7.60734122079137
0.48,-0.744435195820781,0.100887756048505,-0.681346362009581,-3.75019913528173,0.442451537393399,0.285194899755383,0.233415193820286,-2.8810695694329,2.84850226898341,-174.089329386568,-114.277468385936,7.58506218466241
