Time,xm,zm,vxm,vzm,xM,zM,vxM,vzM,NormalForce,TangentialStress,MaximunBendingMoment,MinimunBendingMoment
0.204,0.122616488730765,-0.0107243999251347,-1.13525568416921,0.594884825283103,0.112506905117068,0.309836874658238,-2.3773535082891,1.06685620167023,-273.530591968857,404.153383057419,255.953503016242,20.9807008393725
0.216,0.107196534522467,-0.00174366894890008,-1.46620830011886,0.905662279327598,0.0830347863548264,0.324183070377585,-2.52699058776115,1.32080147398734,-264.239986768166,384.684430286411,247.468666565053,30.0946122090988
0.228,0.0880494879737518,0.0107976423206883,-1.70021395881625,1.17669867032681,0.0517785155740891,0.341503528579167,-2.68468042083133,1.56392745004965,-243.998482361419,357.693096388473,227.578634482165,20.8364748976918
0.24,0.0674475722630156,0.026263633305169,-1.71446854359058,1.39571566828249,0.018483792917872,0.361669107236631,-2.86401607277114,1.79379480853463,-211.591885257792,325.61573630294,205.431862239683,15.6136017037134
0.252,0.0471187391144667,0.0442333262771864,-1.65255845482479,1.59574120304624,-0.016896713072166,0.384455699467628,-3.03277149125677,1.99971743423523,-179.665663400284,288.398941138746,182.281914532533,14.8394764326541
0.264,0.027733011664372,0.0645615606026458,-1.5969080094203,1.79162956537544,-0.0541925711762974,0.409535386707824,-3.17541635225004,2.17476679964512,-149.045942760362,246.422587921871,152.441873815709,13.6815762150757
0.276,0.00677671866748289,0.0872153493104085,-1.93130670945583,1.97897331169007,-0.0925996830759946,0.436512719112325,-3.21345091262803,2.31631838479942,-111.510137209524,200.355318603391,132.452232968658,20.6592792880833
0.288,-0.0171915611007045,0.111840008516558,-2.03618561101611,2.11786650497583,-0.131469725504789,0.465015777432232,-3.26515242097902,2.42888365288104,-71.9713602817156,149.547880378104,94.0046536360934,10.1322996221996
0.3,-0.0421489992256139,0.137887656486464,-2.11628993120846,2.21726629502467,-0.170831799472236,0.494667432811048,-3.28953807510312,2.50743068877468,-18.9414750985924,98.0460052496533,60.6653117648656,6.38628309360063
0.312,-0.0704475273394552,0.164802362534886,-2.64906948169534,2.25851148534333,-0.209752172022291,0.525076465107856,-3.18093812211849,2.55530570055158,26.8813654779134,42.0860827203005,49.160263683925,23.5249848725692
0.324,-0.102762574299901,0.191995068515554,-2.64547962317059,2.27091477373322,-0.247601399523046,0.555833434357404,-3.13719549818264,2.56412910788188,90.8295683804866,-12.4415719315,5.23831459454209,14.9417470211674
0.336,-0.132170000431387,0.219314641279853,-2.2408926391172,2.2794227127084,-0.285160247673826,0.586446283236094,-3.1162465968319,2.53163128726175,161.935366747188,-64.6520276700332,-21.9381933281386,21.2457265136979
0.348,-0.158355564257621,0.246421111172353,-2.15895953122375,2.22856161700673,-0.321817296220431,0.616480776112299,-2.97748560880975,2.46913238381458,225.759959848709,-116.857398167313,-61.5101087499356,7.94837198128739
